review,label,hindi,back_translated,bleu_score,quality_flag,sentiment_preserved
"The pacing was absolutely touching. Wow, just wow.",Positive,"गति बिल्कुल मार्मिक थी। वाह, बस वाह.","The pace was absolutely poignant. Wow, just wow.",0.5348259312838877,PASS,True
"The dialogue was absolutely phenomenal. Wow, just wow.",Positive,"संवाद बिल्कुल अद्भुत था. वाह, बस वाह.","The communication was absolutely amazing. Wow, just wow.",0.5348259312838877,PASS,True
"It perfectly balances humor and drama. Wow, simply wow.",Positive,"यह हास्य और नाटक को पूरी तरह संतुलित करता है। वाह, बस वाह।","It balances comedy and drama perfectly. Wow, just wow.",0.13545994273378145,FAIL,True
"It perfectly balances humor and drama. Wow, just wow.",Positive,"यह हास्य और नाटक को पूरी तरह संतुलित करता है। वाह, बस वाह.","It balances comedy and drama perfectly. Wow, just wow.",0.5081327481546147,PASS,True
"Wow, just wow. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. A must-watch for fans of the genre.",1.0,PASS,True
"The lead actor delivered a delightful performance. Wow, just wow.",Positive,"मुख्य अभिनेता ने मनमोहक प्रदर्शन किया। वाह, बस वाह.","The lead actor gave a captivating performance. Wow, just wow.",0.5923033072023249,PASS,True
The lead actor delivered a heartwarming performance. A cinematic masterpiece.,Positive,मुख्य अभिनेता ने दिल छू लेने वाला प्रदर्शन किया। एक सिनेमाई उत्कृष्ट कृति.,The lead actor gave a heart-touching performance. A cinematic masterpiece.,0.5452469119630863,PASS,True
"Finally, a movie that respects the audience. Two thumbs way up.",Positive,"अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है। दो अंगूठे ऊपर की ओर.","Ultimately, a film that respects the audience. Two thumbs up.",0.5240124171055637,PASS,True
A refreshing take on a tired genre. Don't miss this one.,Positive,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। इसे मत चूकिए.,A refreshing take on a tired genre. Don't miss it.,0.7799950505759817,PASS,True
A refreshing take on a tired genre. Highly recommended for everyone.,Positive,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। सभी के लिए अत्यधिक अनुशंसित.,A refreshing take on a tired genre. Highly recommended for all.,0.842362674378975,PASS,True
I was completely blown away by this film. A definitive 10/10.,Positive,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। एक निश्चित 10/10.,I was completely enthralled by this film. A definite 10/10.,0.4286982293646294,PASS,True
This movie is a triumph in every sense. Highly recommended for everyone.,Positive,यह फिल्म हर दृष्टि से एक विजय है। सभी के लिए अत्यधिक अनुशंसित.,This film is a triumph in every sense. Highly recommended for all.,0.708339753228812,PASS,True
Standard fare for this type of movie. Good for a one-time watch.,Positive,इस प्रकार की फ़िल्म के लिए मानक किराया. एक बार देखने के लिए अच्छा है।,Standard fare for this type of movie. Nice to see once.,0.5334317510807476,PASS,False
I was completely blown away by this film. Don't miss this one.,Positive,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। इसे मत चूकिए.,I was completely enthralled by this film. Don't miss it.,0.5078431769269642,PASS,True
This movie is a triumph in every sense. Don't miss this one.,Positive,यह फिल्म हर दृष्टि से एक विजय है। इसे मत चूकिए.,This film is a triumph in every sense. Don't miss it.,0.6595087796160793,PASS,True
An absolute joy to watch from start to finish. Two thumbs way up.,Positive,शुरू से अंत तक देखने में परम आनंद आया। दो अंगूठे ऊपर की ओर.,An absolute joy to watch from beginning to end. Two thumbs up.,0.4606894414936014,PASS,True
An absolute joy to watch from start to finish. Highly recommended for everyone.,Positive,शुरू से अंत तक देखने में परम आनंद आया। सभी के लिए अत्यधिक अनुशंसित.,An absolute joy to watch from beginning to end. Highly recommended for all.,0.5149732203257935,PASS,True
"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.",Positive,हर दृश्य में कमाई हुई महसूस हुई और शुरुआती दृश्य दिल छू लेने वाला था। एक सिनेमाई उत्कृष्ट कृति.,Every scene felt earned and the opening scene was heart-touching. A cinematic masterpiece.,0.6160362085721387,PASS,True
"The lead actor delivered a flawless performance. Finally, a movie that respects the audience.",Positive,"मुख्य अभिनेता ने बेहतरीन अभिनय किया। अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है।","The lead actor did a great job. Ultimately, a film that respects the audience.",0.329340597116918,PASS,True
It perfectly balances humor and drama. I was completely blown away by this film.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It balances comedy and drama perfectly. I was completely enthralled by this film.,0.3611968100149042,PASS,True
"Wow, just wow. The chemistry between the cast was refreshing. Two thumbs way up.",Positive,"वाह, बस वाह. कलाकारों के बीच की केमिस्ट्री ताज़ा थी। दो अंगूठे ऊपर की ओर.","Wow, just wow. The chemistry between the actors was refreshing. Two thumbs up.",0.6926989774939867,PASS,True
It perfectly balances humor and drama. This movie is a triumph in every sense.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। यह फिल्म हर दृष्टि से एक विजय है।,It balances comedy and drama perfectly. This film is a triumph in every sense.,0.4758733096412523,PASS,True
It perfectly balances humor and drama. I was hooked from the very first minute.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। मैं पहले मिनट से ही आदी हो गया था।,It balances comedy and drama perfectly. I was hooked from the first minute.,0.4451828051595054,PASS,True
I was hooked from the very first minute. It deserves all the awards it's getting.,Positive,मैं पहले मिनट से ही आदी हो गया था। यह इसे मिलने वाले सभी पुरस्कारों का हकदार है।,I was hooked from the first minute. It deserves all the awards it gets.,0.668702821056345,PASS,True
The lead actor delivered a gripping performance. I was hooked from the very first minute.,Positive,मुख्य अभिनेता ने मनोरंजक प्रदर्शन किया। मैं पहले मिनट से ही आदी हो गया था।,The lead actor gave an entertaining performance. I was hooked from the first minute.,0.5047325154308108,PASS,True
I was hooked from the very first minute. I can't wait to see it again.,Positive,मैं पहले मिनट से ही आदी हो गया था। मैं इसे दोबारा देखने के लिए इंतजार नहीं कर सकता.,I was hooked from the first minute. I can't wait to see it again.,0.8428014430784181,PASS,True
I didn't expect to enjoy this as much as I did. Highly recommended for everyone.,Positive,मुझे उम्मीद नहीं थी कि मुझे इसका इतना आनंद मिलेगा। सभी के लिए अत्यधिक अनुशंसित.,I didn't expect to enjoy it so much. Highly recommended for all.,0.42162441249233046,PASS,True
"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.",Positive,"यह बहुत अधिक प्रयास किए बिना दोषरहित होने में कामयाब रहा। अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है।","It managed to be flawless without trying too hard. Ultimately, a film that respects the audience.",0.709421400618421,PASS,True
This movie is a triumph in every sense. I will be thinking about this for days.,Positive,यह फिल्म हर दृष्टि से एक विजय है। मैं कई दिनों तक इस बारे में सोचता रहूंगा.,This film is a triumph in every sense. I will be thinking about this for days.,0.8915993127600096,PASS,True
I was hooked from the very first minute. Do yourself a favor and go see this.,Positive,मैं पहले मिनट से ही आदी हो गया था। अपने आप पर एक एहसान करो और इसे देखने जाओ।,I was hooked from the first minute. Do yourself a favor and go see it.,0.7306019860765528,PASS,True
"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. यह हास्य और नाटक को पूरी तरह संतुलित करता है। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. It balances comedy and drama perfectly. A must-watch for fans of the genre.",0.6898472732966654,PASS,True
The lead actor delivered a memorable performance. An absolute joy to watch from start to finish.,Positive,मुख्य अभिनेता ने यादगार प्रदर्शन किया। शुरू से अंत तक देखने में परम आनंद आया।,The lead actor gave a memorable performance. An absolute joy to watch from beginning to end.,0.6133706010874769,PASS,True
It managed to be breathtaking without trying too hard. I was completely blown away by this film.,Positive,यह बहुत अधिक प्रयास किए बिना लुभावनी होने में कामयाब रहा। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It managed to be breathtaking without trying too hard. I was completely enthralled by this film.,0.7940693189958064,PASS,True
"Wow, just wow. The chemistry between the cast was refreshing. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. कलाकारों के बीच की केमिस्ट्री ताज़ा थी। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. The chemistry between the actors was refreshing. A must-watch for fans of the genre.",0.8656030552541708,PASS,True
"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.",Positive,"वाह, बस वाह. हर दृश्य में कमाई हुई महसूस हुई, और पोशाक डिजाइन उत्कृष्ट था। दो अंगूठे ऊपर की ओर.","Wow, just wow. Every scene felt earned, and the costume design was excellent. Two thumbs up.",0.7571771701555965,PASS,True
It managed to be phenomenal without trying too hard. I was completely blown away by this film.,Positive,बिना ज्यादा मेहनत किए यह अभूतपूर्व होने में कामयाब रहा। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It managed to be phenomenal without trying too hard. I was completely enthralled by this film.,0.7940693189958064,PASS,True
A cinematic masterpiece. The lead actor delivered a touching performance. A must-watch for fans of the genre.,Positive,एक सिनेमाई उत्कृष्ट कृति. मुख्य अभिनेता ने मार्मिक प्रदर्शन किया। इस शैली के प्रशंसकों के लिए अवश्य देखें।,A cinematic masterpiece. The lead actor gave a touching performance. A must-watch for fans of the genre.,0.8578928092681435,PASS,True
The visual effects were superb and added so much depth. This movie is a triumph in every sense.,Positive,दृश्य प्रभाव शानदार थे और इसमें बहुत अधिक गहराई थी। यह फिल्म हर दृष्टि से एक विजय है।,The visual effects were spectacular and had a lot of depth. This film is a triumph in every sense.,0.462985228134777,PASS,True
I was completely blown away by this film. The opening scene was absolutely compelling. Don't miss this one.,Positive,मैं इस फिल्म से पूरी तरह अभिभूत हो गया था। शुरूआती दृश्य बिल्कुल सम्मोहक था। इसे मत चूकिए.,I was completely enthralled by this film. The opening scene was absolutely mesmerizing. Don't miss it.,0.546470691219896,PASS,True
The visual effects were delightful and added so much depth. I was hooked from the quite first minute.,Positive,दृश्य प्रभाव आनंददायक थे और इसमें बहुत अधिक गहराई शामिल थी। मैं पहले मिनट से ही आदी हो गया था।,The visual effects were enjoyable and added a lot of depth. I was hooked from the first minute.,0.5069487414732323,PASS,True
Total garbage. A complete misfire.,Negative,कुल कचरा. एक पूर्ण मिसफायर.,Total garbage. A complete misfire.,1.0,PASS,True
Total garbage. Do not bother.,Negative,कुल कचरा. ध्यान न देना।,Total garbage. neglect.,0.19153996003797966,FAIL,True
The soundtrack was frankly disjointed. Total garbage.,Negative,साउंडट्रैक स्पष्ट रूप से असंबद्ध था। कुल कचरा.,The soundtrack was apparently unconvincing. Total garbage.,0.43167001068522526,PASS,True
Total garbage. I walked out halfway through.,Negative,कुल कचरा. मैं आधे रास्ते से बाहर चला गया।,Total garbage. I walked out halfway.,0.767279645960659,PASS,True
The screenplay was frankly pretentious. A frustrating experience.,Negative,पटकथा स्पष्ट रूप से दिखावटी थी। एक निराशाजनक अनुभव.,The script was clearly pretentious. A disappointing experience.,0.14287202148494,FAIL,True
