"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"2","2026-02-07T09:29:22.457010Z",1,38.207,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-07T09:29:22.457010Z"
2,"2","2026-02-07T09:29:49.292337Z",2,26.415,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-07T09:29:49.292337Z"
3,"2","2026-02-07T09:30:45.462484Z",3,55.581,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Neutral","2026-02-07T09:30:45.462484Z"
4,"2","2026-02-07T09:31:15.072395Z",4,28.918,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-07T09:31:15.072395Z"
5,"2","2026-02-07T09:31:26.089859Z",5,10.645,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-07T09:31:26.089859Z"
6,"2","2026-02-07T09:31:32.877648Z",6,6.415,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-07T09:31:32.877648Z"
7,"2","2026-02-07T09:31:41.086250Z",7,7.841,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Neutral","2026-02-07T09:31:41.086250Z"
8,"2","2026-02-07T09:31:48.258364Z",8,6.818,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-07T09:31:48.258364Z"
9,"2","2026-02-07T09:32:39.239706Z",9,17.023,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-07T09:32:39.239706Z"
10,"2","2026-02-07T09:32:49.237605Z",10,9.525,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-07T09:32:49.237605Z"
11,"2","2026-02-07T09:32:59.593916Z",11,9.626,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-07T09:32:59.593916Z"
12,"2","2026-02-07T09:33:09.482524Z",12,9.518,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-07T09:33:09.482524Z"
13,"2","2026-02-07T09:33:33.013529Z",13,23.006,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Negative","2026-02-07T09:33:33.013529Z"
14,"2","2026-02-07T09:33:38.623681Z",14,5.064,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-07T09:33:38.623681Z"
15,"2","2026-02-07T09:33:45.311391Z",15,5.953,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-07T09:33:45.311391Z"
16,"2","2026-02-07T09:33:58.606806Z",16,12.429,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-07T09:33:58.606806Z"
17,"2","2026-02-07T09:35:45.008945Z",17,105.676,"Total garbage. Zero stars if I could give it.","Negative","2026-02-07T09:35:45.008945Z"
