"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-06T14:00:23.575064Z",1,94.449,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-06T14:00:23.575082Z"
2,"1","2026-02-06T14:01:58.763828Z",2,16.084,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-06T14:01:58.763845Z"
95,"1","2026-02-07T11:06:10.631646Z",3,10.036,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-07T11:06:10.631672Z"
3,"1","2026-02-06T14:03:08.265166Z",4,9.066,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-06T14:03:08.265183Z"
4,"1","2026-02-06T14:03:23.558336Z",5,12.962,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-06T14:03:23.558350Z"
5,"1","2026-02-06T14:03:37.452981Z",6,12.371,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-06T14:03:37.452995Z"
6,"1","2026-02-06T14:04:15.852604Z",7,36.626,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-06T14:04:15.852620Z"
7,"1","2026-02-06T14:04:42.815016Z",8,24.539,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-06T14:04:42.815031Z"
8,"1","2026-02-06T14:05:07.793669Z",9,23.282,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-06T14:05:07.793684Z"
9,"1","2026-02-06T14:05:22.509048Z",10,9.125,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-06T14:05:22.509065Z"
10,"1","2026-02-06T14:05:40.289614Z",11,14.256,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T14:05:40.289628Z"
11,"1","2026-02-06T14:05:51.649638Z",12,9.756,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-06T14:05:51.649661Z"
12,"1","2026-02-06T14:09:39.506620Z",13,12.576,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-06T14:09:39.506634Z"
13,"1","2026-02-06T14:10:25.315225Z",14,13.901,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-06T14:10:25.315240Z"
14,"1","2026-02-06T14:22:34.760129Z",15,726.531,"I am confused about how I feel. It left me puzzled.","Negative","2026-02-06T14:22:34.760143Z"
15,"1","2026-02-06T14:22:56.357248Z",16,19.625,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-06T14:22:56.357263Z"
