location,city,latitude,longitude,price,numBathrooms,numBalconies,isNegotiable,SecurityDeposit,Status,Size_ft²,BHK,rooms_num,property_type,verification_days
Thane West,Mumbai,19.21623611,72.98061371,27000,2,0,0,0,Unfurnished,530,1,2,Apartment,10.0
Thane West,Mumbai,19.27178764,72.9677887,13500,2,0,0,0,Unfurnished,650,1,1,Apartment,1460.0
Airoli,Mumbai,19.14341927,72.99730682,20000,1,0,0,0,Semi-Furnished,700,1,1,Apartment,730.0
Mahipalpur,Delhi,28.54797935,77.13013458,14000,1,0,0,0,Furnished,1200,0,1,Studio Apartment,150.0
Jasola,Delhi,28.52971649,77.2931366,24500,2,1,0,49000,Unfurnished,1000,1,2,Apartment,180.0
Defence Colony,Delhi,28.57302666,77.23272705,120000,3,0,0,0,Furnished,2000,1,3,Independent Floor,365.0
Dombivali East,Mumbai,19.20559311,73.1026535,16000,1,0,0,0,Semi-Furnished,1000,1,2,Apartment,60.0
Tathawade,Pune,18.62471008,73.73709869,28000,3,0,0,0,Unfurnished,1400,1,3,Apartment,12.0
Sheikh Sarai,Delhi,28.53747177,77.21471405,26000,1,0,0,0,Semi-Furnished,900,1,2,Independent Floor,2.0
Dombivli (West),Mumbai,19.21897888,73.08285522,8000,1,0,0,0,Unfurnished,400,1,1,Apartment,365.0
Punjabi Bagh,Delhi,28.67375183,77.12733459,200000,4,0,0,0,Semi-Furnished,4500,1,4,Independent Floor,15.0
Goregaon East,Mumbai,19.15395355,72.88471222,16000,1,0,0,0,Unfurnished,535,1,1,Apartment,1095.0
Undri,Pune,18.45565224,73.91783142,20000,2,0,0,0,Furnished,1200,1,3,Apartment,1095.0
Ville Parle East,Mumbai,19.0951004,72.8605957,65000,2,0,0,0,Furnished,900,1,2,Apartment,1095.0
Undri,Pune,18.45152092,73.91368866,18000,2,1,0,80000,Unfurnished,1000,1,2,Apartment,30.0
Mansa Ram Park,Delhi,28.6184845,77.03974152,25000,2,0,0,0,Furnished,900,1,3,Independent Floor,2.0
Paschim Vihar,Delhi,28.65803719,77.09088898,42000,3,0,0,0,Semi-Furnished,1800,1,3,Independent Floor,365.0
Goregaon West,Mumbai,19.1503849,72.8474884,62000,2,0,0,0,Semi-Furnished,960,1,2,Apartment,30.0
Wakad,Pune,18.60027313,73.77169037,10000,1,1,0,20000,Unfurnished,550,1,1,Apartment,1095.0
Kalamboli,Mumbai,19.04291344,73.09802246,25000,2,0,0,0,Semi-Furnished,1250,1,3,Apartment,60.0
Safdarjung Enclave,Delhi,28.56477928,77.19426727,150000,3,0,0,0,Semi-Furnished,2800,1,3,Independent Floor,11.0
Andheri West,Mumbai,19.13035774,72.81746674,70000,2,0,0,0,Furnished,940,1,2,Apartment,1095.0
