"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-07T08:55:28.203350Z",1,83.879,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-07T08:55:28.203350Z"
2,"1","2026-02-07T08:55:37.742833Z",2,9.083,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-07T08:55:37.742833Z"
3,"1","2026-02-07T08:55:48.677038Z",3,10.542,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-07T08:55:48.677038Z"
4,"1","2026-02-07T08:55:56.043415Z",4,6.995,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-07T08:55:56.043415Z"
5,"1","2026-02-07T08:56:10.089338Z",5,13.657,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-07T08:56:10.089338Z"
6,"1","2026-02-07T08:56:25.651764Z",6,15.168,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-07T08:56:25.651764Z"
7,"1","2026-02-07T08:56:33.278423Z",7,7.232,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-07T08:56:33.278423Z"
8,"1","2026-02-07T08:56:46.979793Z",8,13.276,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-07T08:56:46.979793Z"
9,"1","2026-02-07T08:56:54.395104Z",9,7.073,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-07T08:56:54.395104Z"
10,"1","2026-02-07T08:57:05.542369Z",10,10.786,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-07T08:57:05.542369Z"
11,"1","2026-02-07T08:58:04.388490Z",11,58.426,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-07T08:58:04.388490Z"
12,"1","2026-02-07T08:58:18.701500Z",12,13.926,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-07T08:58:18.701500Z"
13,"1","2026-02-07T08:58:30.931872Z",13,11.801,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-07T08:58:30.931872Z"
14,"1","2026-02-07T08:58:38.192179Z",14,6.81,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-07T08:58:38.193166Z"
15,"1","2026-02-07T08:58:44.644553Z",15,6.015,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-07T08:58:44.644553Z"
16,"1","2026-02-07T08:59:14.014307Z",16,29.012,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-07T08:59:14.014307Z"
